,symboling,normalized-losses,make,aspiration,doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas
0,3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,13495.0,11.19047619047619,8.703703703703704,Low,False,True
1,3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,16500.0,11.19047619047619,8.703703703703704,Low,False,True
2,1,122.0,alfa-romero,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,16500.0,12.368421052631579,9.038461538461538,Medium,False,True
3,2,164.0,audi,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,13950.0,9.791666666666666,7.833333333333333,Low,False,True
4,2,164.0,audi,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,17450.0,13.055555555555555,10.681818181818182,Low,False,True
5,2,122.0,audi,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,15250.0,12.368421052631579,9.4,Low,False,True
6,1,158.0,audi,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,17710.0,12.368421052631579,9.4,Low,False,True
7,1,122.0,audi,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,18920.0,12.368421052631579,9.4,Low,False,True
8,1,158.0,audi,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,23875.0,13.823529411764707,11.75,Medium,False,True
9,2,192.0,bmw,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,16430.0,10.217391304347826,8.10344827586207,Low,False,True
10,0,192.0,bmw,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,16925.0,10.217391304347826,8.10344827586207,Low,False,True
11,0,188.0,bmw,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20970.0,11.19047619047619,8.392857142857142,Medium,False,True
12,0,188.0,bmw,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21105.0,11.19047619047619,8.392857142857142,Medium,False,True
13,1,122.0,bmw,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,24565.0,11.75,9.4,Medium,False,True
14,0,122.0,bmw,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,30760.0,14.6875,10.681818181818182,Medium,False,True
15,0,122.0,bmw,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,41315.0,14.6875,10.681818181818182,Medium,False,True
16,0,122.0,bmw,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,36880.0,15.666666666666666,11.75,Medium,False,True
17,2,121.0,chevrolet,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5151.0,5.0,4.433962264150943,Low,False,True
18,1,98.0,chevrolet,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6295.0,6.184210526315789,5.465116279069767,Low,False,True
19,0,81.0,chevrolet,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6575.0,6.184210526315789,5.465116279069767,Low,False,True
20,1,118.0,dodge,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,5572.0,6.351351351351352,5.7317073170731705,Low,False,True
21,1,118.0,dodge,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6377.0,7.580645161290323,6.184210526315789,Low,False,True
22,1,118.0,dodge,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,7957.0,9.791666666666666,7.833333333333333,Low,False,True
23,1,148.0,dodge,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6229.0,7.580645161290323,6.184210526315789,Low,False,True
24,1,148.0,dodge,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6692.0,7.580645161290323,6.184210526315789,Low,False,True
